colour,pattern,landmark,direction,number
røde,prikker,væggen,højre,én
rød,pletter,væg,venstre,2
grøn,streger,blindgyde,ligeud,5
lilla,pile,blindgyden,ned,4
lyseblå,ovale,kasse,op,et
mørkeblå,cirkler,åbning,bagud,første
blå,stjerner,kant,ligefrem,anden
brune,firkanter,bygningen,hen,forrige
hvid,trekanter,plads,frem,tre
gule,stjerne,pladsen,fremad,1
hvide,kvadrater,bygninger,nedad,3
grønne,ovaler,bygning,nordøst,tredje
lyserøde,ternede,bygningens,skråt,fjerde
gul,striber,hus,ret,sidste
orange,ellipser,hjørnet,klokken,to
skriggrøn,gitter,tårn,grader,7
mintgrønne,prikket,indhak,,10
blålilla,tern,mur,,25
lyserød,firkantet,målet,,15
lyserødt,prikkede,gyde,,8
mørkerøde,ternet,sidevej,,få
mintgrøn,stjernet,torvet,,
rødt,firkantede,sidegade,,
rødvinsfarvede,trekantede,sideveje,,
limegrønne,trekanterne,buen,,
bordeauxrøde,ensfarvede,krydset,,
,mønster,kanten,,
,,rum,,
,,hjørne,,
,,firkanten,,
,,toppen,,
,,slutningen,,
,,endevæggen,,
,,udgangen,,
,,passage,,
,,huse,,
,,vinduer,,
,,udgang,,