ID,age,gender,date_time,condition,chain,generation,phase,scene,map_code,dur,sec,desc,men_rot
B11,25,F,16-09-19/12:00-12:45,B,1,1,1,NaN,NaN,NaN,NaN,NaN,"1,927808035"
B11,25,F,16-09-19/12:00-12:45,B,1,1,2,1,B1121,3:21,201,Hej Drej højre om og ta’ dén vej! Fortsæt hele vejen til den røde væg (enden) Vejen ved din venstre arm skal du tage! Fortsæt nu igen til du møder en blindgyde (med en rød væg) Drej af til venstre før blindgyden. Fortsæt nu ligeud og gå forbi én vej på højre hånd! Så kommer der en stor kasse med grøn baggrund og lilla prikker på højre hånd (mener det er nummer 2 ved efter blindgyden beskrevet ved punkt) Sejr! Blomsten er din :) ,"1,927808035"
B11,25,F,16-09-19/12:00-12:45,M,1,1,3,2,M1132,3:42,222,"På startpodiet med alle veje foran dig, skal du tage vejen ved din højre arm. Der skal du fortsætte hele vejen ned indtil du møder den røde væg (enden) Drej så 90 grader venstre om og du vil finde blomsten ved nummer 4 åbning på venstre hånd lige før en kasse med lyseblå baggrund og mørkeblå pletter.","1,927808035"
B12,24,F,16-09-19/14:00-14:15,B,1,2,1,1,NaN,5:25,325,NaN,"2,419618121"
B12,24,F,16-09-19/14:00-14:15,B,1,2,2,2,B1222,3:48,228,Vend dig om og gå til højre; Fortsæt et stykke ligeud; Gå så til venstre; På en af de lange gange til højre vil blomsten være (det er efter den lange stjernevæg) ,"2,419618121"
B12,24,F,16-09-19/14:00-14:15,M,1,2,3,3,M1233,2:09,129,Vend dig om så du står modsat væggen du kigger ind i; Fortsæt lige ud - enten første eller anden vej; Gå til venstre ad denne vej; fortsæt lige ud et godt stykke (dobbelt så langt af det forrige); gå til højre og find blomsten,"2,419618121"
B13,22,M,16-09-19/15:00-15:15,B,1,3,1,2,NaN,0:56,56,NaN,"2,14344575"
B13,22,M,16-09-19/15:00-15:15,B,1,3,2,3,B1323,2:15,135,Fra startpositionen (ved porten) skal man i starten kigge til venstre og så gå så langt som muligt i den retning (indtil vejen drejer til højre). Ca. dér er blomsten.,"2,14344575"
B13,22,M,16-09-19/15:00-15:15,M,1,3,3,1,M1331,0:39,39,"Fra startpositionen kan man enten gå til venstre, højre eller ligeud.; For at finde blomsten skal man gå ligeud næsten hele vejen igennem ‘byen’.; Når man næsten er igennem byen er blomsten placeret “klokken tre” / lidt til højre ift. der hvor man kommer fra.","2,14344575"
B14,25,F,17-09-19/08:30-09:15,B,1,4,1,3,NaN,2:58,178,NaN,"4,256823975"
B14,25,F,17-09-19/08:30-09:15,B,1,4,2,4,B1424,3:53,233,"Gå til højre fra startpositionen Tag anden vej til venstre Gå forbi bygningen, som er blå med lilla streger Du kommer til en åben plads, hvor blomsten er på højre hånd","4,256823975"
B14,25,F,17-09-19/08:30-09:15,M,1,4,3,2,M1432,8:40,520,Gå til højre fra startpositionen Tag anden vej til venstre Gå forbi den åbne plads Efter pladsen tag anden vej til højre og der er blomsten. Blomsten er imellem 2 bygninger: på højre hånd har du en lilla bygning med brune pile og til venstre en sart grøn bygning med lilla ovale cirkler. Bag dig en hvid bygning med lilla stjerner.,"4,256823975"
B15,24,M,17-09-19/09:30-10:15,B,1,5,1,4,NaN,0:32,32,NaN,"3,131850798"
B15,24,M,17-09-19/09:30-10:15,B,1,5,2,5,B1525,9:10,550,Step Kig ligeud og du ser en rød bygning med blå firkanter på Step Gå derhen Step Tag vejen på venstre hånd lige inden bygningens begyndelse Step Tag derefter første vej på højre hånd Step Tag første vej på venstre hånd og du vil se blomsten (Bygningen ved siden af er en stor rød bygning med blå stjerner) ,"3,131850798"
B15,24,M,17-09-19/09:30-10:15,M,1,5,3,6,M1536,5:19,319,Step Tag vejen på højre hånd Step Tag 2 vej på venstre hånd Step Du kan nu se blomsten ved siden af en hvid bygning med lilla stjerner,"3,131850798"
B16,23,M,17-09-19/10:30-11:15,B,1,6,1,5,NaN,0:57,57,NaN,"1,580282872"
B16,23,M,17-09-19/10:30-11:15,B,1,6,2,6,B1626,5:12,312,Træd ud af startområdet Gå til højre indtil du er nået forbi den gule bygning med røde trekanter Drej til venstre og følg vejen indtil du når enden af den hvide bygning med lilla stjerner Se blomsten,"1,580282872"
B16,23,M,17-09-19/10:30-11:15,M,1,6,3,4,M1634,4:04,244,Træd ud af startområdet og gå til højre. Ved den anden vej drej til venstre (forbi det hvide hus med brune trekanter). Drej til højre ad den første vej. Her er blomsten.,"1,580282872"
B21,22,M,18-09-19/09:15-10:00,B,2,1,1,NaN,NaN,NaN,NaN,NaN,"1,900298815"
B21,22,M,18-09-19/09:15-10:00,B,2,1,2,2,B2122,3:22,202,Gå til højre når du kommer ud af porten Drej op ad anden vej til venstre. Drej ind ad tredje vej til højre. (Ved den røde og grønne væg) På midten af gangen er blomsten.,"1,900298815"
B21,22,M,18-09-19/09:15-10:00,M,2,1,3,1,M2131,1:21,81,Gå lige ud indtil du kommer til en plads. Gå tværs over pladsen og ind mellem den hvide bygning med blå pletter og den blå bygning. Der er blomsten.,"1,900298815"
B22,24,M,18-09-19/10:15-11:00,B,2,2,1,2,NaN,1:07,67,NaN,"1,7973477"
B22,24,M,18-09-19/10:15-11:00,B,2,2,2,4,B2224,3:55,235,Gå til højre lige når du kommer ud ad porten Tag anden vej til venstre Ved første vej til højre er blomsten er lige rundt om hjørnet ,"1,7973477"
B22,24,M,18-09-19/10:15-11:00,M,2,2,3,3,M2233,3:01,181,Gå til venstre lige når du kommer ud ad porten Drej til højre ad første vej Ved anden vej på venstre hånd er blomsten (lige efter en blå og lilla bygning),"1,7973477"
B23,25,M,18-09-19/11:15-12:00,B,2,3,1,4,NaN,0:34,34,NaN,"1,610517087"
B23,25,M,18-09-19/11:15-12:00,B,2,3,2,5,B2325,8:11,491,Fortsæt lige ud af porten gå første vej til venstre derefter første vej til højre og derefter er blomsten første vej til venstre,"1,610517087"
B23,25,M,18-09-19/11:15-12:00,M,2,3,3,6,M2336,1:42,102,Gå til højre ud af porten med det samme Tag anden vej til venstre Fortsæt ligeud indtil du ser blomsten,"1,610517087"
B24,22,F,18-09-19/13:00-13:45,B,2,4,1,5,NaN,3:01,181,NaN,"3,5909337"
B24,22,F,18-09-19/13:00-13:45,B,2,4,2,1,B2421,5:41,341,ud af port(startplatformen); gå til højre - følg vejen til du kommer forbi fjerde “indgang” til venstre; gå til venstre - følg vejen til du kommer forbi 4 indgang til venstre; gå til venstre - fortsæt forbi 3 “indgange” til højre; gå til højre - blomsten er foran dig,"3,5909337"
B24,22,F,18-09-19/13:00-13:45,M,2,4,3,4,M2434,3:14,194,"gå ud af startporten (platformen); gå til højre; gå forbi 2 “indgange”/veje til venstre, gå ind af den 3 til venstre ; gå lige ud indtil du kan gå til højre - du har fundet blomsten 
","3,5909337"
B25,28,F,18-09-19/15:15-16:00,B,2,5,1,1,NaN,4:40,280,NaN,"5,270795355"
B25,28,F,18-09-19/15:15-16:00,B,2,5,2,6,B2526,2:23,143,Gå til højre fra startporten; Drej til venstre ved første vej (den gule bygning); Fortsæt ligeud mod den lyserøde bygning med lilla stjerner,"5,270795355"
B25,28,F,18-09-19/15:15-16:00,M,2,5,3,5,M2535,3:19,199,Gå til venstre ved startporten; Drej til højre ved første vej; Fortsæt ligeud til den gule bygning med blå stjerne,"5,270795355"
B26,22,F,19-09-19/08:15-09:00,B,2,6,1,6,NaN,1:52,112,NaN,"4,572352388"
B26,22,F,19-09-19/08:15-09:00,B,2,6,2,3,B2623,1:56,116,"Gå til venstre ved startstedet; Tag første vej på højre hånd; I den første åbning, du møder skal du kigge mod venstre og tage vejen lige ud for dig i venstre side og følge bygningen, der er grøn med lilla prikker. Blomsten ligger på denne vej i højre side","4,572352388"
B26,22,F,19-09-19/08:15-09:00,M,2,6,3,2,M2632,4:32,272,Drej til højre ved startstedet; Fortsæt ligeud til du kommer til den lilla bygning med blå firkanter. Her drejer du til venstre; Fortsæt ligeud til du kommer til en lyseblå bygning med store lilla prikker.; Drej til højre. Her er blomsten.,"4,572352388"
B31,26,M,19-09-19/09:10-09:55,B,3,1,1,NaN,NaN,NaN,NaN,NaN,"2,663687474"
B31,26,M,19-09-19/09:10-09:55,B,3,1,2,6,B3126,2:30,150,"Træd ned fra platformen bagud. Drej til venstre og følg gangen helt til enden. Drej til venstre igen og tag sidste vej på venstre hånd. Kig til venstre mens du går langs gangen, ved første eller anden gang kan du se blomsten.","2,663687474"
B31,26,M,19-09-19/09:10-09:55,M,3,1,3,3,M3133,3:07,187,"Træd baglæns ned ad platformen og drej til højre. Følg gangen til enden og drej igen til højre. Gå ned ad gangen og kig til venstre, så er blomsten ved andet indhak. ","2,663687474"
B32,22,M,19-09-19/11:00-11:45,B,3,2,1,6,NaN,1:34,94,NaN,"2,102817005"
B32,22,M,19-09-19/11:00-11:45,B,3,2,2,3,B3223,2:03,123,Træd ned bagud fra platformen. Drej 180 grader og gå til venstre og dernæst til højre ved første mulighed. Fortsæt ligeud mellem to blå bygninger og drej til venstre ned af første vej.,"2,102817005"
B32,22,M,19-09-19/11:00-11:45,M,3,2,3,1,M3231,3:36,216,Gå bagud og drej 180 grader og gå da ligeud. Indtil man står ved en stor hvid bygning med blå cirkler på. Drej da til højre og venstre ved første mulighed.,"2,102817005"
B33,22,M,19-09-19/12:00-12:45,B,3,3,1,3,NaN,0:48,48,NaN,"2,570098798"
B33,22,M,19-09-19/12:00-12:45,B,3,3,2,4,B3324,1:38,98,Du ser ud fra startplatformen. Gå til højre og fortsæt ligeud. På venstre hånd ser du en gul bygning med røde trekanter. Drej til venstre efter denne. Herefter møder du rosen på højre hånd.,"2,570098798"
B33,22,M,19-09-19/12:00-12:45,M,3,3,3,2,M3332,4:10,250,Se ud fra platformen. Gå til højre. Fortsæt ligeud så længe det er muligt. Gå til venstre. Blomsten er tredje gang til venstre.,"2,570098798"
B34,22,F,19-09-19/14:00-14:45,B,3,4,1,4,NaN,0:49,49,NaN,"3,893207152"
B34,22,F,19-09-19/14:00-14:45,B,3,4,2,5,B3425,4:59,299,"Du går lige ud fra start porten, indtil at du kommer til en rød bygning med store blå kvadrater på venstre hånd. Du drejer ind til venstre lige inden den bygning. Derefter drejer du med det samme til højre og fortsætter, indtil at den hvide blomst kommer på din venstre side.","3,893207152"
B34,22,F,19-09-19/14:00-14:45,M,3,4,3,6,M3436,3:10,190,"Du går til højre fra start porten og fortsætter indtil, at der er en hvid bygning med brune trekanter på venstre hånd. Du drejer til venstre efter denne bygning. Blomsten er nu lige fremme.","3,893207152"
B35,20,F,19-09-19/15:00-15:45,B,3,5,1,5,NaN,0:26,26,NaN,"1,163751631"
B35,20,F,19-09-19/15:00-15:45,B,3,5,2,1,B3521,3:12,192,Du går lige ud fra porten. Når du kommer til en “plads” hvor der er relativt åbent er der en gul væg med blå ovaler på. Du skal gå til højre langs den - mellem den og en anden væg der er blå med blå stjerner. Umiddelbart til venstre finder du blomsten.,"1,163751631"
B35,20,F,19-09-19/15:00-15:45,M,3,5,3,4,M3534,2:11,131,Du skal gå til højre fra porten. På venstre side vil der være en rød væg med blå firkanter. Gå ind til venstre lige før den væg. Blomsten vil være på højre side lige når den røde væg med de blå firkanter slutter.,"1,163751631"
B36,25,F,20-09-19/09:15-10:00,B,3,6,1,1,NaN,1:09,69,NaN,"2,176947172"
B36,25,F,20-09-19/09:15-10:00,B,3,6,2,2,B3622,8:41,521,Drej til højre lige ved porten. Drej til venstre efter den gule bygning med røde trekanter. Drej til højre efter den blå bygning med røde trekanter.,"2,176947172"
B36,25,F,20-09-19/09:15-10:00,M,3,6,3,5,M3635,4:13,253,Gå ligeud fra porten. Drej til venstre imellem den røde bygning og brune bygning med blå firkanter. Drej til højre mellem den brune bygning med de blå firkanter og en blå bygning. På venstre hånd ved en orange bygning med blå stjerner finder du blomsten.,"2,176947172"
B41,21,F,20-09-19/10:15--11:00,B,4,1,1,NaN,NaN,NaN,NaN,NaN,"4,15796131"
B41,21,F,20-09-19/10:15--11:00,B,4,1,2,5,B4125,4:52,292,"Trin er at du skal dreje til venstre; Drej til højre ved første sving; Du kommer nu ud på en plads, her skal du gå lige ud mellem to blå bygninger med ternede røde striber på; Herefter går du i mellem dem, indtil du kan dreje til højre, første gang.; Her vil du finde blomsten","4,15796131"
B41,21,F,20-09-19/10:15--11:00,M,4,1,3,1,M4131,2:24,144,"Trin gå lige ud til du rammer den røde mur for enden.; Trin gå nu til højre, til du rammer enden igen; Her skal du igen dreje til højre og så finder du blomsten","4,15796131"
B42,36,M,20-09-19/11:15-12:00,B,4,2,1,5,NaN,1:55,115,NaN,"2,557402215"
B42,36,M,20-09-19/11:15-12:00,B,4,2,2,1,B4221,8:40,520,Gå mod den hvide bygning med lyserøde stjerner. Bag den kan man se en høj skriggrøn bygning med lilla ellipser på. Målet er ved foden af den,"2,557402215"
B42,36,M,20-09-19/11:15-12:00,M,4,2,3,4,M4234,5:51,351,Drej til højre; tag vej til venstre; se til højre,"2,557402215"
B43,22,F,20-09-19/12:00-12:45,B,4,3,1,1,NaN,1:36,96,NaN,"2,192806064"
B43,22,F,20-09-19/12:00-12:45,B,4,3,2,2,B4322,5:36,336,Gå ligefrem til den høje hvide bygning med lilla stjerner; Gå højre om den hvide bygning med lilla stjerner; Blomsten kan ses derfra ned ad en sidegade ved den blå bygning med røde trekanter,"2,192806064"
B43,22,F,20-09-19/12:00-12:45,M,4,3,3,3,M4333,1:25,85,Start med at gå mod venstre; Gå så til højre op til den mintgrønne bygning med lilla pletter; Gå hen i hjørnet af den bygning og find blomsten på højre hånd,"2,192806064"
B44,22,M,20-09-19/13:00-13:45,B,4,4,1,2,NaN,2:23,143,NaN,"2,907959211"
B44,22,M,20-09-19/13:00-13:45,B,4,4,2,6,B4426,3:45,225,Gå ligefrem til den høje hvide bygning med lilla stjerner; Gå rundt om den hvide bygning med lilla stjerner og du finder en blomst. ,"2,907959211"
B44,22,M,20-09-19/13:00-13:45,M,4,4,3,5,M4435,4:40,280,Gå frem til den brune bygning med blå firkanter.; Gå til venstre ad første vej og til højre igen således at du kommer om bag bygningen.; Her er der en sidegade til venstre hvor blomsten er. ,"2,907959211"
B45,18,F,20-09-19/14:00-14:45,B,4,5,1,6,NaN,2:32,152,NaN,"2,058882537"
B45,18,F,20-09-19/14:00-14:45,B,4,5,2,3,B4523,3:10,190,Kig ud mod byen (ikke ind mod den lukkede gang) drej til venstre af den første vej. Drej derefter til højre. Du kommer til 2 blå bygninger med en smal vej mellem dem. Følg denne smalle vej mellem de 2 blå bygninger og blomsten vil være på din venstre side. ,"2,058882537"
B45,18,F,20-09-19/14:00-14:45,M,4,5,3,2,M4532,2:39,159,Kig først væk mod den røde mur (kig mod byen) Drej til højre med det samme og følg denne vej indtil den røde mur. Drej derefter til venstre og følg denne vej. Blomsten vil være på venstre side af dig i den 4. gyde.,"2,058882537"
B46,18,M,20-09-19/15:00-15:45,B,4,6,1,3,NaN,1:17,77,NaN,"2,265921682"
B46,18,M,20-09-19/15:00-15:45,B,4,6,2,4,B4624,4:23,263,"Vend modsatrettet porten. Drej til højre indtil en blålilla bygning mødes. Drej til venstre, således den blålilla bygning er på højre hånd. Blomsten kan ses til højre efter bygningen.","2,265921682"
B46,18,M,20-09-19/15:00-15:45,M,4,6,3,6,M4636,2:16,136,"Vend hovedet modsat porten. Drej til højre. Anden gang muligt, drej til venstre. Der vil være en blålilla bygning til venstre det sted hvor der skal drejes. Fortsæt ligeud og blomsten vil findes.","2,265921682"
B51,22,F,20-09-19/16:00-16:45,B,5,1,1,NaN,NaN,NaN,NaN,NaN,"1,017866799"
B51,22,F,20-09-19/16:00-16:45,B,5,1,2,3,B5123,3:56,236,"gå til venstre; ved den sidste mulighed for at dreje til højre, drej til højre; gå til den store plads, der ligger ved enden af vejen; drej til højre; nu burde blomsten være der","1,017866799"
B51,22,F,20-09-19/16:00-16:45,M,5,1,3,6,M5136,2:25,145,"drej til højre; gå ligeud, kryds én gade; drej til venstre; gå ligeud, kryds to gader; nu skulle blomsten være der","1,017866799"
B52,21,F,23-09-19/08:00-08:45,B,5,2,1,3,NaN,11:11,671,NaN,"1,59952334"
B52,21,F,23-09-19/08:00-08:45,B,5,2,2,5,B5225,5:57,357,Gå ind ad porten og fortsæt lige ud; Drej til venstre lige inden den rød og blå-ternede bygning; Drej til højre lige efter den samme rød og blå-ternede bygning; Følg gangen; Blomsten dukker op venstre side,"1,59952334"
B52,21,F,23-09-19/08:00-08:45,M,5,2,3,2,M5232,1:41,101,Gå ind ad porten og følg gangen til venstre; Drej til venstre for enden af gangen; Drej til venstre igen lige inden lyseblå bygning med blå-lilla pletter.; Her er blomsten,"1,59952334"
B53,25,F,23-09-19/09:00-09:45,B,5,3,1,5,NaN,0:43,43,NaN,"4,048490935"
B53,25,F,23-09-19/09:00-09:45,B,5,3,2,6,B5326,3:43,223,Du starter ved porten; Gå til højre med det samme til du ser en gul bygning med røde pile på venstre hånd (ca. 5 meter); Drej til venstre og følg gangen ca. 7 meter; Blomsten bliver nu synlig ved en hvid bygning med lille stjerner,"4,048490935"
B53,25,F,23-09-19/09:00-09:45,M,5,3,3,1,M5331,2:55,175,Du starter ved porten; Gå lige ud til du når en stor åben plads (ca. 10 meter); Lige fremme - en anelse til højre - ses en hvid bygning med store blå cirkler; Lige til højre for denne bygning ligger blomsten,"4,048490935"
B54,24,M,23-09-19/10:00-10:45,B,5,4,1,6,NaN,1:10,70,NaN,"1,886494262"
B54,24,M,23-09-19/10:00-10:45,B,5,4,2,2,B5422,2:28,148,"start ved porten og gå til højre i første kryds; Fortsæt lige ud indtil der kommer en gul bygning med røde stjerne på venstre hånd (ca 10 meter) - drej til venstre efter denne.; fortsæt lige ud forbi den gule bygning . på venstre hånd kommer en hvid bygning med lilla stjerne - fortsæt lige ud med denne på venstre hånd - i alt ca 25 meter fremad); Der kommer en blå bygning med orange/røde pletter på højre side. efter denne, ses blomsten på højre hånd","1,886494262"
B54,24,M,23-09-19/10:00-10:45,M,5,4,3,4,M5434,1:08,68,"gå fra porten frem i første kryds (3-4 meter); drej til højre - gå FORBI 2 blokke på din venstre hånd, til du står i et kryds igen (cirka 15 meter); drej til venstre - gå FORBI 1 blok på højre hånd (cirka 7-8 meter); drej til højre - her findes blomsten lige om hjørnet efter den 1. blok","1,886494262"
B55,24,F,23-09-19/11:00-11:45,B,5,5,1,2,NaN,2:30,150,NaN,"2,317172884"
B55,24,F,23-09-19/11:00-11:45,B,5,5,2,4,B5524,5:40,340,Du står med ryggen til porten og drejer til højre. Du kan se den store gule bygning med røde trekanter og drejer til venstre efter den. Du går ligeud og finder blomsten lige ved hjørnet af den bygning der er lyserød med store blå firkanter/blå med lyserødt gitter.,"2,317172884"
B55,24,F,23-09-19/11:00-11:45,M,5,5,3,3,M5533,2:22,142,"Du står med ryggen til porten og drejer til venstre. Du går hele vejen forbi den store røde bygning, hen mod den bygning med de mange prikker/cirkler. Du drejer til højre efter den røde bygning og kan nu se en blå bygning sådan lidt i midten - du skal venstre om denne, for blomsten er bagved den blå bygning. Du går altså nu med en blå bygning på højre hånd og en prikket på venstre.","2,317172884"
B56,25,F,23-09-19/12:30-13:15,B,5,6,1,4,NaN,0:54,54,NaN,"2,114749608"
B56,25,F,23-09-19/12:30-13:15,B,5,6,2,1,B5621,7:55,475,Stil dig med ryggen til porten og gå ligeud af vejen foran dig. Når du når pladsen skal du dreje til højre efter den ensfarvede blå bygning. Blomsten finder du til venstre før den grønne bygning med lyseblå cirkler.,"2,114749608"
B56,25,F,23-09-19/12:30-13:15,M,5,6,3,5,M5635,6:22,382,Stil dig med ryggen til porten og gå lige ud. drej til venstre før den orange bygning med blå firkanter og drej til højre igen efter selv samme bygning (orange med blå firkanter). Blomsten finder du når du drejer til højre lige før den orange bygning med blå stjerner.  ,"2,114749608"
B61,22,M,23-09-19/13:30-14:15,B,6,1,1,NaN,NaN,NaN,NaN,NaN,"1,999263486"
B61,22,M,23-09-19/13:30-14:15,B,6,1,2,4,B6124,0:33,33,"Drej til højre fra platformen og ud på en vej, følg vejen; Tag anden sidevej til venstre og følg den; Blomsten ligger på hjørnet ved bygningen til højre","1,999263486"
B61,22,M,23-09-19/13:30-14:15,M,6,1,3,6,M6136,2:20,140,Drej til højre ud på vejen; Tag anden sidevej til venstre; følg denne vej forbi “torvet” og forbi 2 sideveje til højre; Her finder du blomsten på midten af vejen,"1,999263486"
B62,23,M,23-09-19/14:30-15:15,B,6,2,1,4,NaN,0:37,37,NaN,"1,566994953"
B62,23,M,23-09-19/14:30-15:15,B,6,2,2,6,B6226,3:16,196,"Fra platformen, tag vejen til højre og følg den.; Tag anden sidevej til venstre og følg den.; Fortsæt ad denne vej lige ud i noget tid,; Blomsten ligger på denne vej, mellem den hvide og den blå bygning","1,566994953"
B62,23,M,23-09-19/14:30-15:15,M,6,2,3,1,M6231,3:30,210,"Fra platformen, tag vejen til højre og følg den.; Tag anden vej til venstre og følg den.; Tag tredje vej til venstre og derefter til højre, blomsten er der med det samme.","1,566994953"
B63,20,F,23-09-19/15:30-16:15,B,6,3,1,6,NaN,0:48,48,NaN,"2,03549603"
B63,20,F,23-09-19/15:30-16:15,B,6,3,2,1,B6321,4:00,240,"Fra buen skal du ligeud i krydset. Her fortsætter du noget tid indtil du når hen til en slags plads. På den modsatte side af pladsen (i forhold til hvor du kom fra) er der en blå bygning med gule prikker, her drejer du til højre, og drejer straks til venstre igen efter bygningen - her er blomsten. ","2,03549603"
B63,20,F,23-09-19/15:30-16:15,M,6,3,3,3,M6333,2:26,146,"Fra buen af skal du straks til venstre i krydset, så til højre første gang du har mulighed for at dreje. Nu skal du fortsætte ligeud i noget tid indtil du når mellem to blå bygninger med mørkeblå tern. Du skal dreje til venstre lige efter denne blå bygning på din venstre side. ","2,03549603"
B64,25,F,23-09-19/16:30-17:15,B,6,4,1,1,NaN,1:23,83,NaN,"2,761978601"
B64,25,F,23-09-19/16:30-17:15,B,6,4,2,3,B6423,1:22,82,"Du står på startpladsen og går til venstre med det samme, så den mørkerøde bygning er på venstre hånd. Du fortsætter ligeud indtil en stor plads kommer, hvor du ser en grøn bygning med lilla prikker. Denne bygning går du venstre om indtil du når blomsten.","2,761978601"
B64,25,F,23-09-19/16:30-17:15,M,6,4,3,2,M6432,2:46,166,"Du står på pladsen og går straks til højre, hvor du følger denne vej indtil den bliver blind. Gå herefter til venstre, så du får den blå bygning med hvide stjerner på højre hånd. Her går du til venstre, så du ser en mintgrøn bygning med lilla prikker. Her er blomsten. ","2,761978601"
B65,23,M,25-09-19/11:00-11:45,B,6,5,1,3,NaN,1:27,87,NaN,"2,771302673"
B65,23,M,25-09-19/11:00-11:45,B,6,5,2,2,B6522,1:52,118,"Så snart du kommer ind, drejer du til højre, fortsætte til højre, indtil du støder på kanten af verden, herefter drejer du til venstre, indtil du kommer frem til en væg der er grøn med lilla pletter, når du møder denne væg, drejer du til venstre, hvor blomsten er lige foran dig.","2,771302673"
B65,23,M,25-09-19/11:00-11:45,M,6,5,3,5,M6535,4:50,290,"Først gå ligefrem, indtil du passerer den røde bygning, (lige før du kommer til den hvide med blå stjerner), her drejer du til venstre, lige efter du har passeret den, drejer du til højre, og næste gang det er muligt drejer du til venstre hvor blomsten er. Altså lige ud, venstre, højre, venstre.","2,771302673"
B66,23,F,25-09-19/12:00-12:45,B,6,6,1,2,NaN,1:05,65,NaN,"1,915534615"
B66,23,F,25-09-19/12:00-12:45,B,6,6,2,5,B6625,9:13,553,Gå lige ud og drej til venstre ved den mørkerøde bygning. Drej til højre første gang. Drej derefter til venstre første gang.,"1,915534615"
